id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26648689,Home in South Hurstville · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,29497751,Alice,,City Of Kogarah,-33.97789,151.10779,Private room,89,90,4,14/11/2018,0.07,1,0,0,
27342060,Boutique hotel in Darlinghurst · ★4.23 · 1 bedroom · 2 beds · 1 private bath,154618936,Sydney Boutique,,Sydney,-33.8767,151.22148,Hotel room,215,1,39,14/3/2023,0.74,5,167,4,Exempt
27035835,Guesthouse in Bexley · ★4.94 · 1 bedroom · 1 bed · 1 bath,88855353,Eric,,Rockdale,-33.94417953,151.1237335,Entire home/apt,185,2,50,18/5/2023,0.85,1,124,5,PID-STRA-16388-2
27345825,Guesthouse in Cheltenham · ★4.88 · 1 bedroom · 1 bed · 1 bath,43569498,Joyce,,Hornsby,-33.75406,151.08163,Entire home/apt,88,90,26,2/6/2021,0.45,1,91,0,
26658263,Townhouse in Darlinghurst · ★4.60 · 1 bedroom · 3 beds · 1 bath,195754960,Spring,,Sydney,-33.87937,151.21959,Entire home/apt,138,90,67,1/10/2020,1.14,2,0,0,
27042944,Rental unit in Stanmore · ★5.0 · 1 bedroom · 1 bed · 1 bath,19270233,Jennifer,,Marrickville,-33.89695,151.16236,Entire home/apt,100,90,3,27/8/2018,0.05,1,0,0,
27043682,Rental unit in Little Bay · 1 bedroom · 1 bed · 1 shared bath,88082967,Trish,,Randwick,-33.97597,151.24504,Private room,80,90,0,,,2,90,0,
26671010,Home in Collaroy · ★4.88 · 3 bedrooms · 3 beds · 1.5 baths,17344576,Linda,,Warringah,-33.73766,151.30019,Entire home/apt,600,2,40,3/4/2023,0.7,1,169,10,PID-STRA-5252
26675057,Rental unit in Bondi Junction · ★4.76 · 1 bedroom · 1 bed · 1 bath,200534827,Min,,Waverley,-33.89203,151.2446,Entire home/apt,66,1000,79,25/8/2019,1.32,1,0,0,
27347527,Home in Avalon Beach · 5 bedrooms · 5 beds · 3.5 baths,106194148,Shannan,,Pittwater,-33.62985,151.33716,Entire home/apt,2500,7,2,5/1/2023,0.12,1,133,1,PID-STRA-6400
27062567,Home in Balgowlah Heights · ★4.56 · 4 bedrooms · 4 beds · 2 baths,17011152,Carolyn,,Manly,-33.80316,151.25735,Entire home/apt,250,90,9,26/11/2018,0.16,1,0,0,
27352617,Rental unit in Manly · 1 bedroom · 1 bed · 1 bath,20200758,Nat,,Manly,-33.80514,151.29019,Entire home/apt,300,90,0,,,1,365,0,
26676993,Rental unit in Sydney Olympic Park · ★4.85 · 1 bedroom · 3 beds · 1 bath,50021011,Jing,,Auburn,-33.84832,151.07359,Entire home/apt,95,90,14,2/1/2020,0.23,2,0,0,
27063351,Home in Earlwood · ★4.89 · 3 bedrooms · 4 beds · 1.5 baths,57992273,Ashley,,Canterbury,-33.92972,151.12178,Entire home/apt,175,90,19,29/12/2018,0.32,1,0,0,
27074719,Rental unit in Millers Point · ★4.85 · 2 bedrooms · 4 beds · 1.5 baths,495971390,Emma,,Sydney,-33.86012,151.20299,Entire home/apt,370,1,255,29/5/2023,4.3,8,83,39,PID-STRA-13371
